epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.308,1.75693,12.2626,0.01989,0.00213,0.63953,0.09477,0.04432,1.4388,10.3325,0.01466,0.00062,0.00062,0.00062
2,57.7254,1.52096,9.07689,0.01613,0.56855,0.31395,0.43485,0.16096,1.41421,9.45443,0.0154,0.00125986,0.00125986,0.00125986
3,72.1701,1.60665,6.38617,0.01736,0.44888,0.23683,0.25741,0.08348,1.61938,5.29697,0.01766,0.00189918,0.00189918,0.00189918
4,86.2335,1.65361,4.53844,0.01751,0.46885,0.32558,0.40006,0.20347,1.67848,3.04137,0.01799,0.00199805,0.00199805,0.00199805
5,100.933,1.62036,3.17141,0.01693,0.77108,0.5814,0.73098,0.37609,1.601,1.89892,0.01648,0.00199653,0.00199653,0.00199653
6,115.698,1.60318,2.41751,0.0167,0.80902,0.73891,0.81035,0.44921,1.55574,1.30483,0.01603,0.00199458,0.00199458,0.00199458
7,130.279,1.5903,1.84928,0.01652,0.71977,0.7907,0.82467,0.44912,1.58359,0.97221,0.01587,0.00199219,0.00199219,0.00199219
8,144.443,1.59841,1.52487,0.0169,0.86334,0.80808,0.8787,0.5076,1.45128,0.92509,0.01508,0.00198938,0.00198938,0.00198938
9,159.024,1.59837,1.31992,0.01698,0.7923,0.75409,0.81994,0.48336,1.48435,1.022,0.01425,0.00198614,0.00198614,0.00198614
10,173.404,1.52816,1.20175,0.0157,0.77407,0.79679,0.8597,0.48488,1.47827,0.87946,0.01538,0.00198246,0.00198246,0.00198246
11,187.638,1.51966,1.05877,0.01599,0.80353,0.7907,0.8696,0.46178,1.48873,0.92484,0.01535,0.00197837,0.00197837,0.00197837
12,202.042,1.55415,1.02935,0.01625,0.88369,0.88348,0.92823,0.51163,1.59279,0.71165,0.01627,0.00197384,0.00197384,0.00197384
13,216.795,1.51173,0.89468,0.01556,0.83485,0.88175,0.9155,0.54626,1.34961,0.67938,0.01338,0.0019689,0.0019689,0.0019689
14,231.389,1.51658,0.83082,0.01567,0.85048,0.81395,0.8798,0.49206,1.48036,0.79912,0.01513,0.00196353,0.00196353,0.00196353
15,244.602,1.51041,0.8608,0.01581,0.76305,0.84884,0.87355,0.48671,1.51787,0.79809,0.0153,0.00195775,0.00195775,0.00195775
16,258.141,1.49429,0.81584,0.01534,0.79819,0.86047,0.88375,0.51796,1.47212,0.77397,0.01472,0.00195155,0.00195155,0.00195155
17,271.945,1.49083,0.82588,0.01561,0.79493,0.86047,0.89372,0.53187,1.43717,0.69257,0.01472,0.00194493,0.00194493,0.00194493
18,285.963,1.48455,0.76422,0.01555,0.9509,0.90071,0.97277,0.59766,1.3041,0.52782,0.01293,0.00193791,0.00193791,0.00193791
19,300.849,1.44048,0.74893,0.01508,0.92206,0.82543,0.92657,0.52905,1.50872,0.67008,0.01529,0.00193048,0.00193048,0.00193048
20,315.18,1.45382,0.71171,0.01473,0.96077,0.85433,0.95936,0.61308,1.37491,0.53953,0.01368,0.00192264,0.00192264,0.00192264
21,329.833,1.4371,0.70776,0.01466,0.8216,0.69619,0.80201,0.44492,1.54792,1.14639,0.01575,0.00191441,0.00191441,0.00191441
22,344.245,1.43538,0.62245,0.01421,0.94921,0.86934,0.95314,0.5638,1.50292,0.65908,0.01532,0.00190578,0.00190578,0.00190578
23,358.564,1.46294,0.64883,0.01503,0.89892,0.93073,0.95776,0.51658,1.5218,0.46982,0.01608,0.00189675,0.00189675,0.00189675
24,372.977,1.43484,0.66635,0.015,0.95314,0.88372,0.97323,0.60956,1.4057,0.47191,0.01378,0.00188734,0.00188734,0.00188734
25,387.201,1.41593,0.6343,0.01423,0.92318,0.88372,0.95506,0.58362,1.41717,0.57188,0.01408,0.00187754,0.00187754,0.00187754
26,401.259,1.45691,0.58799,0.01534,0.89665,0.9079,0.94495,0.57527,1.37729,0.6173,0.01388,0.00186737,0.00186737,0.00186737
27,415.453,1.44776,0.62522,0.01463,0.7716,0.86047,0.88324,0.51193,1.51749,0.83426,0.01545,0.00185681,0.00185681,0.00185681
28,429.786,1.41675,0.63771,0.0142,0.90674,0.9186,0.95792,0.57154,1.50537,0.55887,0.01483,0.00184588,0.00184588,0.00184588
29,444.648,1.40889,0.61768,0.0143,0.95666,0.89535,0.96117,0.57793,1.38365,0.50975,0.01429,0.00183459,0.00183459,0.00183459
30,458.944,1.43415,0.5711,0.01465,0.86929,0.90698,0.9555,0.59235,1.40464,0.55804,0.01385,0.00182294,0.00182294,0.00182294
31,472.994,1.43109,0.55279,0.01445,0.94976,0.9186,0.97977,0.61009,1.34636,0.45021,0.0131,0.00181093,0.00181093,0.00181093
32,486.908,1.41684,0.53032,0.01432,0.97754,0.90698,0.98261,0.60337,1.35866,0.46648,0.01341,0.00179856,0.00179856,0.00179856
33,501.165,1.43534,0.57453,0.01498,0.95355,0.95492,0.98308,0.59521,1.34728,0.43452,0.01397,0.00178586,0.00178586,0.00178586
34,515.098,1.42119,0.5293,0.01431,0.97395,0.93023,0.97597,0.59419,1.41007,0.4893,0.01416,0.00177281,0.00177281,0.00177281
35,529.246,1.39342,0.54963,0.01392,0.93816,0.96512,0.98453,0.61368,1.38365,0.44524,0.01333,0.00175943,0.00175943,0.00175943
36,543.865,1.4089,0.54383,0.01448,0.92089,0.94749,0.97279,0.61333,1.33722,0.45549,0.01332,0.00174571,0.00174571,0.00174571
37,557.865,1.38736,0.53821,0.01394,0.9377,0.9186,0.96927,0.58829,1.39976,0.54738,0.01397,0.00173168,0.00173168,0.00173168
38,572.106,1.3723,0.53779,0.01393,0.96287,0.90698,0.94144,0.56866,1.38795,0.53485,0.01415,0.00171733,0.00171733,0.00171733
39,586.192,1.37909,0.5234,0.01425,0.92331,0.9186,0.97052,0.60693,1.37142,0.4943,0.01356,0.00170267,0.00170267,0.00170267
40,600.297,1.42554,0.53056,0.01472,0.82951,0.89535,0.94618,0.55398,1.44781,0.64787,0.01449,0.0016877,0.0016877,0.0016877
41,614.741,1.36718,0.52066,0.01371,0.95058,0.89465,0.95368,0.59612,1.36117,0.55058,0.01358,0.00167244,0.00167244,0.00167244
42,629.392,1.3335,0.51394,0.01319,0.92109,0.86047,0.96499,0.59994,1.33702,0.50749,0.0135,0.00165689,0.00165689,0.00165689
43,643.542,1.35506,0.52432,0.01372,0.97457,0.9186,0.98011,0.619,1.30453,0.50414,0.0128,0.00164105,0.00164105,0.00164105
44,658.285,1.35364,0.49909,0.01416,0.90205,0.96374,0.96156,0.6055,1.34005,0.40334,0.01306,0.00162494,0.00162494,0.00162494
45,672.474,1.33101,0.50764,0.01321,0.90212,0.93023,0.95493,0.59745,1.31761,0.55857,0.0129,0.00160855,0.00160855,0.00160855
46,686.547,1.3372,0.46493,0.01323,0.9667,0.83721,0.93457,0.53611,1.46384,0.60494,0.01478,0.00159191,0.00159191,0.00159191
47,700.292,1.35145,0.44561,0.01369,0.96322,0.91354,0.97838,0.58434,1.38485,0.43754,0.01407,0.00157501,0.00157501,0.00157501
48,713.736,1.31515,0.48205,0.01343,0.95149,0.91238,0.9673,0.59485,1.32788,0.44349,0.01329,0.00155786,0.00155786,0.00155786
49,727.783,1.34011,0.48661,0.01359,0.96545,0.89535,0.97236,0.59762,1.35409,0.47426,0.0135,0.00154047,0.00154047,0.00154047
50,742.055,1.32488,0.46576,0.013,0.95117,0.906,0.96326,0.62412,1.3007,0.50434,0.01292,0.00152285,0.00152285,0.00152285
51,756.578,1.31313,0.43615,0.01319,0.96172,0.93023,0.97517,0.6308,1.3014,0.40816,0.01303,0.001505,0.001505,0.001505
52,771.286,1.28613,0.4661,0.01322,0.89351,0.95349,0.96385,0.61595,1.2995,0.47675,0.01304,0.00148694,0.00148694,0.00148694
53,785.494,1.31072,0.48016,0.0135,0.90906,0.97674,0.98098,0.64527,1.28466,0.43537,0.01286,0.00146866,0.00146866,0.00146866
54,800.143,1.27832,0.44677,0.01285,0.96183,0.93023,0.98395,0.63221,1.31455,0.47442,0.01296,0.00145019,0.00145019,0.00145019
55,814.384,1.27335,0.42302,0.01313,0.93537,0.94186,0.96362,0.62481,1.30592,0.42193,0.01298,0.00143152,0.00143152,0.00143152
56,828.795,1.26777,0.43724,0.01251,0.95262,0.93518,0.98127,0.62613,1.27878,0.42259,0.0125,0.00141267,0.00141267,0.00141267
57,843.063,1.28298,0.42726,0.01291,0.89935,0.93513,0.96223,0.60234,1.40034,0.49082,0.01397,0.00139364,0.00139364,0.00139364
58,857.46,1.30878,0.43387,0.01328,0.97462,0.89305,0.94586,0.60682,1.29881,0.52976,0.01268,0.00137444,0.00137444,0.00137444
59,871.718,1.31021,0.459,0.01293,0.96293,0.90624,0.96674,0.61211,1.32493,0.43826,0.01293,0.00135509,0.00135509,0.00135509
60,885.779,1.25509,0.41951,0.01243,0.97492,0.90394,0.9549,0.61184,1.26154,0.49234,0.01201,0.00133558,0.00133558,0.00133558
61,899.442,1.29652,0.43072,0.01307,0.94105,0.92812,0.96407,0.61052,1.27768,0.45935,0.01257,0.00131593,0.00131593,0.00131593
62,913.353,1.25813,0.42302,0.01286,0.90166,0.95952,0.98073,0.61418,1.2541,0.4359,0.01216,0.00129614,0.00129614,0.00129614
63,926.999,1.25111,0.40538,0.01231,0.96648,0.88372,0.95817,0.59418,1.36259,0.50468,0.01324,0.00127623,0.00127623,0.00127623
64,940.758,1.24941,0.40405,0.01218,0.95158,0.93023,0.96956,0.62249,1.28927,0.4584,0.01252,0.0012562,0.0012562,0.0012562
65,955.035,1.23068,0.4254,0.01231,0.90871,0.92603,0.96807,0.6113,1.25562,0.45243,0.01227,0.00123607,0.00123607,0.00123607
66,969.515,1.26104,0.41281,0.01226,0.9565,0.94186,0.97888,0.6067,1.30202,0.39043,0.01279,0.00121583,0.00121583,0.00121583
67,983.954,1.23706,0.4135,0.01244,1,0.93928,0.97016,0.63238,1.25328,0.482,0.01209,0.00119551,0.00119551,0.00119551
